
 Greedy output [epoch -> 1 | step -> 500]:  " , , the the , , D the be , " , " D , the ,on , , " , " , ,on be , " , , "on , , the " , the "on , , the , " , , the , , the " , , the theon , , the , " , . , " the , . , , " , " , " "'t , the , ,on , the , " , the , , " " , , , " D , D , theon the "'t " . the ,on ,on , , . the , " , " , . the , " the the , the the , , " " , the the " be the be , , be , the the , , " " " the , "on , the , , , theon , the the , ,'t D , , , " ,on , be , the ,'t ,on , theon , , " be , theon the , " , , theon , " , the , the the be , " , the , , the be , , ,on , " the , the , the the , the the , the the "'t , the , , theon , " " , " " "'t , theon , , " " the the , be the , , , the D , , the , " " " be theon , " , " " " the , , , " " "'t , " , , , the theon , theagall , " theon , the , , , , theon , , " the "on , , ,on , " , , D , theon , .on , the , , the the the ,on , " " the , " " the't , the the " , ,on , be , "on , , the , , " " , , the the the the " " " , the be the the , D , ,'t , , " "'t " , , " , , D , " " , be the D the D , the , be , , , " " D , ,on , , " " the , " " ,'t " the , , the't , " " the the the , the , , the the the , " theon , " " the be , the , the , " , the , the the ,on , , , ,on , " , , , the the the ,'t , theon , , ,on , " " , the D the D , the

 Greedy output [epoch -> 1 | step -> 1000]:  he " head . " " heonagallon , , " boy ,'t be to "'s been the , very . the " the . , , . " Petonon . . " to the the to . "'s the . the boy . " was a been be a the the . the head . " Petonagall , a been boy a " head , " was the , the , the theon , , the , the , . a , , a the headh to Vernon said't be " said . " Petagallon , to be're . " he's been a the be . " was to the D , . the , be the D . , the D . .on said he . "hboard , , been of he D's be head . been aer head of , " he D . . of the . a a been , , the , " , been a of the to the . . . theh . the , " , a to be the he very head . a . the head head . " saidh head , a , . boy . " said of , " he , " the be ,on , , the D . " to be a ,h the the very . . " , " said " , " . " said Harry D . , " "'re't be , the , " he , be a a boy very . he been a " , , " , . the , . he , " . " aerh been a head . the the the to he . the D .'re very to " was been a very the of the , to " Harry's been a . ,boardh the , be a he , , " . " he're't the boy of . . " saidagallagallon , of . the head . . " been . the the . " head . . the , " the , the head , the the D . " he boy . " boy of the D boy ,onagallagall , of the D , . theh of the , "'s ahboard " was been been the , , be , " was of head , . " said " Vernon's " ,'re't be the the head . , " been're " said he was been to " Petagallon , of and a . " the the "'re . , was't be been head . " said . " said was Harry . " said , " said said head a the D . " saidononagall , head he " said head . been . a

 Greedy output [epoch -> 1 | step -> 1500]:  . ,S " " he in . a theugg . the , " " wasanderled . " "'ve't have on to D . " said Harry was " you was't be . " "les ,'d be , , the D , " " Harry Petunia , , " " a him , the D . " " " was and , " was . a . the , . " " was to the . . "rid , " was't be been , . been a . it was be been , he was it he he was . , eyes , aiv , " eyes , be the , , was , " "urs Dursa a , "'t have . "ugg was't be him , the way , , " " was , "ll him , . the , " "'ve't have the . than of the . " " was , the , " he he . " " was ainds the . " " was of was bit bit . the D . the eyes eyes . " I , " D .s and " , " , , "'re a , " " Harry Petunia was and a bit , , " was a not . "er ,S , " at the the eyes , "urs , a bitivy , , the bit , the bit . " was a the door of was the . a . him way , it was him . " was at , the . him . " the 'ly , " . " was't have it eyes , " a . the D . the onlyursleys ' the . theon , a was " the door to the D . the D , , the eyes . " eyes and a .'t have a to the he the , , the , the . " you it're been . " Vernon was been a , . " " don the you , " " was been Harry " the eyes , eyes , , , to the . , " "'ve a you , , " , , . , " , the , a , be a the'sboard . the , you . " " don a been to the , , " " Harry was " " " he Vernon .'t be it . " , of had you " D was a " , . was to the was a . abed , , the Dursleys ' was't be him . , " , " Petunia was " of the was to . the D and . at he he was't be a the . " been to bit of the and and a . eyes . he ,

 Greedy output [epoch -> 1 | step -> 2000]:  . the lot of theiv a in the first . the first . " was the . a't the mother . the was the . " " was the " " .rid , " was a lot . the in " " , ,pt . " " you first of the boy in down the the last . "iv into the first , " was a though , the , "led a . " down to last first man . . " was be up the , though werey , the , the first . the was . up " " down . " " ,rid , though train , to the first . were the up Hoo . the firstiv as a . the lot of the stars . the a lot . in the first . , " were a a the lotly , " was to be a the . , the hat . " he were the lot of thels , " he wereappingered . of the and theauldron . . " said , " , , " he , broom the . " " ,rid , " was a . first a the in a of the . " " ! " " ,'s the . " up of broom , " he'relsauldron . to lotagle a the firststick therid , a . " to of last . the , " , . , the first of the first . "'re down to lot of the first out the as the first , " the of . " "led , " Know , " got outer eyes be , " "rid , the lotands . a to people , the first . . " : " Petivou , . . " D . forward .'t . "ll , " hairle D and thels the hair , up , " was a lot long . , the's all . he a the , a to , be . " said Div ' s . " McGonagall , " said Harryrid , " said you know "rid , "'m have a . the , " " had a first . . " D to . a they . know see a the first first the firstursley . s . the , " D first . a with the dear . a first in lastoyleitchts , " first . a much . the me of " the lotly . , a . a the firstiv , "'re Hag McGonagall , the first Ditch . "'s , the hat of the of the . the lot , the first , first of the first . have a a , he McGonagall , the first . .

 Greedy output [epoch -> 1 | step -> 2500]:  , . his to the . " . the glass .ledting the floor . the hat . he few . ! the airiff , " Petunia , his cup secondsy , . the kitchen , . Dudley him . bit . the was the kitchen be of . " was Dudley Vernon . back to the kitchened , . morning . and Dudley , a the the his kitchen . , of the .'d be Dudley the down to the kitchenorteded of and ofappedamus . Harry faces . of seconds Dudley minutes theile and he kitchen and to the " was't be . Dudley wasivered and Dudley to the and to the it , and cup ofapped room the than " was gangoo were a and the kitchen . of the , he to them . He snake and . of the was gang . and was a up the kitchen of the kitchen , the cup room , and him was'd be a , the . to the he Harry was with Dudley the cup .led and and and it kitchenursleys were be , the the and that he kitchen . was a , Dudley of to the . Dudley was a heting . the He had the kitchen of't been to the in the and he was beak he it was it Dudley minutes to the . He he kitchen , thevet Drive had beak Dudley of the on Dudley were his . Dudley'd neverak to the one of . Dudley minutes to the . Harry the Dudley kitchen , and purple of the kitchen crumbling a Dudley " it Harry seconds to the . . he a he .ing noise of " it kitchen crumbling into the kitchen , " of , the . Dudley'd never a , "ting , , . and he'd be his had to and been the him , seconds seconds ofpool . Harry snake school'tivered and Dudley had down of , and at the kitchen . Dudley had a the and to the in the He : THE Petridgeboard . THE PetOM . HarryOM . Dudley were his . Dudley hadked his . Dudley Harry was gang kitchen , " he'd Harry , . " was a cup around him . Dudley Vernon , backgie down the kitchen . " was a his bit , the eyes with , were it he been a the kitchen , and , ,'d been his the . " he was gang , " Harry'd , " Harry'm you ,'m armed ! " Harry was a bit . " heASH ! " D . a his the a him Harry . up at the eyes and Dudley the bitening minutes . with up the kitchen . " giant . the bit

 Greedy output [epoch -> 1 | step -> 3000]:  , dad . " the , . the of . " youh , been , heer dad , the , the " " " right does " " , , " "ool ? " "rid ,riblyle . " " , ,us ' the , , " " was a down the broom , " the shoulder he'd to the the Leirs . " goblinursleys , alesing the the D . " Harry you , , get ye , and " wasled . the Dursleys , " " the , . was , " and to ' yearsalus ' the itY , " " , there , a on bit of . " was a a the , " Hag the " a face and't even path " "'ve , of to " " was Hag " "'ve't " , , " . and a the " " herid ,is . umbrella . a Hag " " , world . "'ve , " world's " aunt , "er mum , years to " " " did , " "rid , like he I'd a it the . " "ursry ' ! " " wasa . " Vernon , " was been . difficult , " , about the at a "uggwirled at " "rid , at . last , " " heh , bein iter letters was a , " " was Hag " "'m , " saw not . " Know not . " " " does " parents parents was a ,'t you . " a were " " "h , ' theinh got't course , "rid , to newspaper . the umbrella , " Hag , the Mered . , " "h ,'t course , wash , . " "'d Hag , " Vernon , . the newspaper . " " , " " said . " " . , , " , "'m you , get ye D . . " " Macker , . it ,ursleys , ye beenrell , the D with atrid , , him . herid , about " newspaperthin IN rightled . the . " " Know been Hag . " , Hag . he a the D . , the the . "'m a was "'m , , . . "ursleys , " ' the , got a was the . this , . " " "ealin does the , " " Hag , . " " ! "'magelf " ! " " , Vernon , the . " Petunia , him large , the , " " , " . yer letters . " of theh there " " Hag
