
 Greedy output [epoch -> 1 | step -> 500]:  , " " , , , , , " , , , , , , , , , " , , , , , , , " , , , , , , , , , , " , , , , , " " " , , , , , , , , " " " , " , , , , , , , , , , , , , , , , , , , , , , , , , , " " " , " " " , " , , , " , " , , , , , , , , , , , , " , " , , , , , " " , , , , , , , , , , , " " , , , , , " , , , , , , , , , , , , " , , , , , , , " , , , , , , , , , , , " , , , , , " , , , , , , , , , , , " , , , , , , , , , , , , , " " , , " , " , , , , , , , " , " " " " , " " " , " , , , , " , , , , , " " , , , , , , , , . , , " " " , " , , , , " , , , " " , , , " , , , , , " " " , , , , " " " , , , , , , , , , , , " " , , , , , " , , , , , , , , , , , " , , " , , , , " , , , " " , , , , , , , , , , , , , , , , " , , , , , , , , " " , , , , , , , , , , , , , , , , , " " , , , , , , , " " , , , . , , " , , , , , , , , , " " , , " , " , " " , , , , , , , , , , " " , , , , , , , , , , , , , , " , , , , , , , , , , , , , , . , , , , , , , , , , , , , , , " , , , , , , , , , , " , , , , , , , , , , , " , , , , , , , , , , , , " , , , , ,

 Greedy output [epoch -> 1 | step -> 1000]:  , . " , D was Durs the . the the the . the . theurs , " the . the the the , " " the the the , theursurs the the was ,ursursursurs . " . the . the , , " . theursurs "urs , , theurs't was , the . theurs , " . . the the D . " was theurs the't was " theurs . the the theurs , theurs . " the the was the , the " " . the the " "urs . . " " , " the't theursurs the "ursurs ,'t . " , the , the , the , " " was the the theurs , the the . theurs . " " . the the , , " . " " was the " theurs . . " " the the the theurs the D was the theurs the the was . " , " "urs . . theurs . the theursurs was ,urs was the . a theurs , " a the , theurs , was't the the the was the the the the was the ,urs . , " . theursurs . . " . theursurs , . the was , the . theurs . . the , the the was the . theursurs . "urs . , , the theurs , " wasurs a theurs , " the , the , the the . the theurs . theurs . "urs D , "urs was . , theurs , , "urs . "ursursursurs " theurs the D . " the D , was D D the , was the D D . the the the the the , " the D . the the the D , the , theurs the . , " was the D the theurs . the . "'t the was theurs . , . " , "ursursurs . . theurs , " .urs the ,ursurs "'t was the , " "'t the , . was the the " . " "urs . , the , " "ursursurs D the the theurs ,'t the ,urs was the the , "ursurs . "'t the , " " was theursurs . . the . " was the a the was a the the , a . " the was was't the the D . the D . " the " the was , the the the , " was the " " the the , " the a the't the the the was was was "

 Greedy output [epoch -> 1 | step -> 1500]:  the , the't . the the D .rid . the a , the D , the D . " the was a the D . . the the " he the , was the a , , theurs , a " the D . the theurs . " had't a a the . " . a a , the he . a D the , " D D . " D . D was a , was . " . " the Durs . " a , the D D D . " D Durs , " was the . a D . " " was , . the , the D . D . , the D D D " " was the . " " , the , , a , " " " , " , " " the . " " D D . the was a , the , theurs . the . . a a . " " the was , " the . a , to the was a the " , , the . "ursurs . the was a , the the D D D . . " of . the D D was the "urs D was't a he . the . " was of , was a theurs . D , the , theurs , " the had't a of a the , the . he the " was the . the , the the . D , the , , , , the the was a a was theurs . " was . " was D , theursurs , the D . theurs wasurs , " Durs . . a Dursurs D . " was D D wasurs . " the . D a the D , " had a the D was . . " of the the ,urs the D was't a . " was the , the aurs , the , , " he was . the was the Durs D D wasurs . "'t . the Durs . the . a D , . , theurs , "ursurs was of the , a the was't a the . aurs had D the was . " was . the , a , , " was't a the . the , " had theurs theurs . a had a , the to a a . " D D D was a D . . the D , D , . the was , the the , " was , the a , the D D D . the D , " had , a had D , " D . a , the the . a , D a , the a . " " was the . " " was theursurs . "urs . , he

 Greedy output [epoch -> 1 | step -> 2000]:  , lot of the . " was't be the he was a the the he , a the a was he he was a he the " D . the D of a of a D of , D , to the " said a the , " " was , " of the D . the was " " , , the of " " was theurs . a D . to to " was of the , a . of . , the D . " of was't be . " , he was a a Durs of theurs . " said . " , " said D . a , " said . "'d a the the D of the D . . was the a D , lot lot to the , " said said . " said D . , " said was " said he D D . " " the beenurs , " . a . . " the , the , " D was " , been . " . " said said , " said he , a , " D . the D . . . the . " said he a a , . " said , lot of the " was . " said . . "'ve he , a a of the . a . the . " said he , " said the a been a a a the said was of the , the . " , , of D been . the he D . . " was of " said he the the he hadrid was " said said . " said he , " said he've't be the . " said said . " said the , . " said .'d the D of theurs . " he , , " " said . " said he , " was to a of the , the D D . " , " he he had a . the he was a the " was of . the the D . . " said he theurs . . " said the , " was , , a he . he , the . " said he . "'ve he a " said he , " said've he . the a D . he was the the . " he been been of the . " " said he been be the of the . a " said D been D , a , of the . D , . . D D . the lot lot . been the the " "'m , been of be of the loturs , " said he . " said , a was a " said saidugg he . " a the the . "urs . a , a he a " he " he'd been aurs , . " said said , " said he ,

 Greedy output [epoch -> 1 | step -> 2500]:  , , , the letter of the letter and " was to to letter of the D and the . the D , " bit of and " said , ,rid'm , " a aurs , the , " said Vernon , the bitugg and a to eyes , the D of . " , "uggugg ' , , , " long and the to the , " bit , " ,uggot , theugg the eyes , to , " was been letter long , , a , the , , a , , a a a be , " said letterugg ' the , " 'ursleys , " said therid , " said he been "rid , "'munia the , the , " said was to D , , " D of , a a and know be been to D head the Dursurs , the , the , " D boy , a and theot , a D . theringotagall , " D , a , , the the of " a bit not , a the . the the Dugg , " was , Petursagall , the Dugg D , " , be the D of the of the , the bit to the letter , letter of the D ,unia been a , he 'ursleys , the D , , the bit , " , , the letter , " was to the " to , to , he was be the a , "ring to the , " said to the , " said Harry 'ursurs , " said letter . the , ,unia was , " he , got the head , the D boy , " had be a . the head , " boyuggugg , letter bit , Vernon , " he know a , " head , Pet a , a head . he , "'m be a of the letter of thele , " , thele ,ing , " a the , of the head , head , " said D , , a ,uggagallles , "le McG , "ugg , " augg , ' " of , aagall , of and a of a ' not and a , " he been a the , "le be and be ,leys , of " he , of , be the , of " the D of the D , " D , the D boy , , the D ,agall " bit D , "'m he of the been be a bit to thering , a , " said letteranderuggugg's be the , the bit way to the of the D of the D , "'m , been thering of , to he , the

 Greedy output [epoch -> 1 | step -> 3000]:  to . " " he think be up lot be ,'ve be the's Vernon a he've be " a have "'d up bit lot he " a'm't be to " " D . a , lot , . the . the . " " was be been , a ,'t be , D , " " Harry . the . " "'ve to the him . ' to the him . ' , " he D ,'t be . "'m be he have " to " was bity . the the head . a up of lot lot , to , "'s aam a the , a , , augglely . the D of " " eyes . the D up of " , " was been been the eyes , he D of . a . . " D the . boy . a to " he , , was been lot . the . " was a be a ' ' , . " " be . Harry lot the , " . a him of " " was Harry "'d been loty . of the . " of theot not , , " a not , of of " "'m been , the .'ve't be the . " " Harry . " he D .'t be . " was a at the D , the eyes . " " , " a , ' . " . a . . " . " " was up . " . at up . " " " the . " " was the eyes , " " , "amot , "boardy . " Harry , , " , . ' " " was the eyes , " he . . "ot lot he up , a . . " " he be he , a lot ' , " " Harry D . " " , " . a a boy ' " . . "'ve be to lot eyesam he been the and a . a . , the , " , the eyes . a . the the " . a been a boy , he'm a eyes . " he'm a been a to " the , "'ve , " . a D lot ' , the and , it "'ve been .'m been the the eyes , and the not " the , "'ve been he . be a to'm a . . " the D . " was a , " " was Harry the , lot . " . at the . " a a to the . the eyesly . he was't be the the D , , the ' . " "'m a . , " " . , " " . . " " Harry's " " he have been " "
